customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.hasPositionGraph,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeTeam.disabled,homeScore.period2,awayScore.period2,homeRedCards,lastPeriod,time.initial,time.max,time.extra,statusTime.prefix,statusTime.initial,statusTime.max,statusTime.timestamp,statusTime.extra,roundInfo.name,roundInfo.cupRoundType
robsNWq,1.0,1.0,True,True,True,10340969,1.0,1657321200,ca-sarmiento-club-atletico-rosario-central,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,190,68,7.0,100,Ended,finished,Club Atlético Rosario Central,club-atletico-rosario-central,Rosario Central,Football,football,1,0,0,3217,[],#52b030,#52b030,#ffffff,CA Sarmiento,ca-sarmiento,CA Sarmiento,Football,football,1,0,0,42338,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,1657328149.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657328154,,,,,,,,,,,,,,,,
wobsQzr,0.0,1.0,False,,,10340832,,1657382400,patronato-de-parana-arsenal-de-sarandi,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,190,68,7.0,0,Not started,notstarted,Patronato de Paraná,patronato-de-parana,Patronato,Football,football,1,0,0,43741,[],#52b030,#52b030,#ffffff,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,Football,football,1,0,0,3221,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
bobscob,0.0,1.0,False,,,10340833,,1657391400,boca-juniors-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,190,68,7.0,0,Not started,notstarted,San Lorenzo,san-lorenzo,San Lorenzo,Football,football,1,0,0,3201,[],#52b030,#52b030,#ffffff,Boca Juniors,boca-juniors,Boca,Football,football,1,0,0,3202,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
eobsuob,0.0,1.0,False,,,10340829,,1657400400,banfield-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,190,68,7.0,0,Not started,notstarted,Banfield,banfield,Banfield,Football,football,1,0,0,3219,[],#52b030,#52b030,#ffffff,Unión,union,Unión,Football,football,1,0,0,3204,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
mobsMLo,0.0,1.0,False,,,10340919,,1657409400,platense-newells-old-boys,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,190,68,7.0,0,Not started,notstarted,Platense,platense,Platense,Football,football,1,0,0,36837,[],#52b030,#52b030,#ffffff,Newell's Old Boys,newells-old-boys,Newell's,Football,football,1,0,0,3212,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
kobstnB,0.0,1.0,False,,,10340960,,1657409400,barracas-central-talleres,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,190,68,7.0,0,Not started,notstarted,Talleres,talleres,Talleres,Football,football,1,0,0,3210,[],#52b030,#52b030,#ffffff,Barracas Central,barracas-central,Barracas,Football,football,1,0,0,65668,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,False,,,,,,,,,,,,,,
ZOspWc,0.0,1.0,False,,,10113972,,1657395000,avai-red-bull-bragantino,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,183,83,16.0,0,Not started,notstarted,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,Football,football,1,0,0,1999,[],#52b030,#52b030,#ffffff,Avaí,avai,Avaí,Football,football,1,0,0,7315,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,False,,,,,,,,,,,,,,
lOsbP,0.0,1.0,False,,,10113918,,1657404000,ceara-sc-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,183,83,16.0,0,Not started,notstarted,Fluminense,fluminense,Fluminense,Football,football,1,0,0,1961,[],#52b030,#52b030,#ffffff,Ceará SC,ceara-sc,Ceará,Football,football,1,0,0,2001,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,False,,,,,,,,,,,,,,
kOsrO,0.0,1.0,False,,,10113935,,1657409400,athletico-goias-ec,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,183,83,16.0,0,Not started,notstarted,Goiás EC,goias-ec,Goiás,Football,football,1,0,0,1960,[],#52b030,#52b030,#ffffff,Athletico,athletico,Athletico,Football,football,1,0,0,1967,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,False,,,,,,,,,,,,,,
PNsWN,2.0,,True,True,True,10360143,1.0,1657324800,mazatlan-fc-tigres-uanl,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,Football,football,1,0,0,1946,[],#52b030,#52b030,#ffffff,Tigres UANL,tigres-uanl,Tigres,Football,football,1,0,0,1940,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,8.0,1657331941.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1657331945,False,False,0.0,0.0,,,,,,,,,,,,
AFoszHFb,2.0,,True,True,True,10360144,,1657332300,club-tijuana-juarez-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,100,Ended,finished,Club Tijuana,club-tijuana,Tijuana,Football,football,1,0,0,36525,[],#52b030,#52b030,#ffffff,Juárez FC,juarez-fc,Juárez,Football,football,1,0,0,201624,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,4.0,1657339397.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1657339401,,,0.0,2.0,1.0,,,,,,,,,,,
QNsYN,1.0,,True,True,True,10360145,,1657332300,santos-laguna-puebla,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,100,Ended,finished,Puebla,puebla,Puebla,Football,football,1,0,0,1941,[],#52b030,#52b030,#ffffff,Santos Laguna,santos-laguna,Santos,Football,football,1,0,0,1948,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,1657339392.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1657339394,False,,0.0,0.0,,,,,,,,,,,,
INsJFo,0.0,,False,,,10360152,,1657411200,club-leon-pumas-unam,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,0,Not started,notstarted,Club León,club-leon,León,Football,football,1,0,0,36534,[],#52b030,#52b030,#ffffff,Pumas UNAM,pumas-unam,Pumas UNAM,Football,football,1,0,0,1933,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
NNsaO,0.0,,False,,,10360147,,1657411500,atletico-de-san-luis-cd-guadalajara,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,0,Not started,notstarted,CD Guadalajara,cd-guadalajara,Guadalajara,Football,football,1,0,0,1938,[],#52b030,#52b030,#ffffff,Atlético de San Luis,atletico-de-san-luis,Atlético de San Luis,Football,football,1,0,0,1950,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
LNsXN,0.0,,False,,,10360148,,1657418700,cruz-azul-pachuca,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,0,Not started,notstarted,Cruz Azul,cruz-azul,Cruz Azul,Football,football,1,0,0,1947,[],#52b030,#52b030,#ffffff,Pachuca,pachuca,Pachuca,Football,football,1,0,0,1936,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,False,,,,,,,,,,,,,,
HNsON,0.0,,False,,,10360149,,1657418700,club-america-monterrey,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,182,28,2.0,0,Not started,notstarted,Monterrey,monterrey,Monterrey,Football,football,1,0,0,1932,[],#52b030,#52b030,#ffffff,Club América,club-america,América,Football,football,1,0,0,1939,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
cabsIWp,1.0,1.0,True,True,True,10025224,,1657323000,philadelphia-union-dc-united,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,USA,usa,Football,football,1,26,usa,US,0,242,True,False,178,18,,100,Ended,finished,Philadelphia Union,philadelphia-union,Philadelphia,Football,football,1,0,0,39833,[],#52b030,#52b030,#ffffff,DC United,dc-united,DC United,Football,football,1,0,0,2502,[],#52b030,#52b030,#ffffff,7.0,7.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,1657330660.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657330663,,,,,,,,,,,,,,,,
nabsaTjc,1.0,1.0,True,True,True,10025220,,1657332000,los-angeles-fc-la-galaxy,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,USA,usa,Football,football,1,26,usa,US,0,242,True,False,178,18,,100,Ended,finished,Los Angeles FC,los-angeles-fc,Los Angeles,Football,football,1,0,0,274650,[],#52b030,#52b030,#ffffff,LA Galaxy,la-galaxy,LA Galaxy,Football,football,1,0,0,2513,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,4.0,1657339336.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657339341,,,,,,,,,,,,,,,,
